Date,Open,High,Low,Close,Adj Close,Volume
2015-02-03,71.839996,74.610001,71.820000,73.860001,58.722794,645500
2015-02-04,73.559998,73.879997,72.470001,72.650002,57.760784,478100
2015-02-05,73.379997,75.010002,73.169998,74.730003,59.414501,440200
2015-02-06,74.959999,76.129997,74.430000,74.610001,59.319088,339000
2015-02-09,75.120003,75.769997,74.800003,75.269997,59.843815,317300
2015-02-10,75.410004,75.440002,73.900002,74.269997,59.048759,350200
2015-02-11,73.910004,74.500000,73.739998,74.120003,58.929501,267500
2015-02-12,75.110001,75.830002,75.099998,75.660004,60.153893,245100
2015-02-13,75.809998,76.680000,75.610001,76.160004,60.551418,239400
2015-02-17,76.360001,77.459999,76.099998,77.040001,61.251053,283100
2015-02-18,76.620003,76.720001,75.209999,75.570000,60.082329,296800
2015-02-19,74.699997,75.000000,73.849998,74.790001,59.462185,268700
2015-02-20,74.120003,74.680000,72.730003,73.360001,58.325253,535500
2015-02-23,72.870003,72.870003,71.620003,72.250000,57.442738,388800
2015-02-24,71.790001,73.339996,71.470001,73.230003,58.221905,500500
2015-02-25,73.959999,74.540001,73.489998,74.309998,59.080547,387100
2015-02-26,75.629997,76.970001,75.430000,76.099998,60.503704,636600
2015-02-27,76.040001,76.889999,75.870003,76.500000,60.821728,445600
2015-03-02,76.970001,77.220001,76.070000,76.150002,60.543461,349800
2015-03-03,76.610001,76.820000,75.529999,76.010002,60.432159,394600
2015-03-04,75.599998,76.019997,74.809998,75.970001,60.400356,278400
2015-03-05,75.599998,75.690002,74.919998,75.070000,59.684803,331500
2015-03-06,74.419998,74.940002,74.050003,74.879997,59.533741,335000
2015-03-09,74.980003,75.199997,74.510002,74.879997,59.533741,289400
2015-03-10,74.300003,74.300003,71.839996,72.510002,57.649479,450800
2015-03-11,72.559998,73.029999,71.980003,72.510002,57.649479,248100
2015-03-12,73.379997,73.930000,73.290001,73.459999,58.404762,258600
2015-03-13,73.150002,73.389999,71.459999,72.459999,57.609707,357600
2015-03-16,72.709999,73.110001,72.389999,72.529999,57.665356,295900
2015-03-17,72.250000,72.419998,71.559998,71.889999,57.156525,422100
2015-03-18,71.809998,73.510002,71.440002,73.330002,58.301414,430500
2015-03-19,72.550003,72.550003,71.879997,71.919998,57.180386,288700
2015-03-20,72.639999,73.989998,72.599998,73.589996,58.508110,322100
2015-03-23,74.330002,74.669998,74.169998,74.419998,59.168011,361700
2015-03-24,74.589996,75.150002,74.239998,75.070000,59.684803,370400
2015-03-25,74.470001,74.629997,73.260002,73.540001,59.305771,461200
2015-03-26,73.989998,74.279999,72.919998,73.320000,59.128357,302500
2015-03-27,73.160004,73.459999,71.889999,72.180000,58.209019,329600
2015-03-30,72.169998,72.500000,71.500000,71.820000,57.918690,350000
2015-03-31,71.089996,72.639999,70.930000,72.500000,58.467064,325700
2015-04-01,72.589996,72.760002,72.099998,72.470001,58.442875,336700
2015-04-02,72.680000,73.349998,72.610001,73.169998,59.007389,250400
